TIPO;CATEGORIA;TAREA;DESCRIPCIÓN;VARIANTES;OBJETIVO;ESPACIO;TIEMPO TOTAL;MATERIAL;VIDEO DRIVE ID
TÉCNICA COLECTIVA;SENIOR , JUVENIL , CADETE , INFANTIL , ALEVIN , BENJAMIN;PAREDES + FINALIZACIÓN;Trabajamos la pared, el jugador de dentro hace una pared con uno de fuera, el que finaliza se queda a hacer pared al siguiente.;;PAREDES;20x30;15;BALONES , CHINOS , PICAS , PORTERIA PEQUEÑA;https://drive.google.com/file/d/1K454VquZPRWQfYiKujsW27vigsisNNOg/view?usp=drive_link
TÉCNICA COLECTIVA;JUVENIL , CADETE , INFANTIL , ALEVIN , BENJAMIN;PASES EN TRIO - DESMARQUES;Iniciamos con paredes y desmarques de apoyo de los dos jugadores lejanos al que inicia. Vamos variando las secuencias de pases, jugando en corto y largo.;;DESMARQUES DE APOYO;25x15;15;BALONES , CONOS , PICAS;https://drive.google.com/file/d/1aTdJRgftY-FyNr0uIy5Cw7wPQqPePRgS/view?usp=drive_link
RONDO;SENIOR , JUVENIL , CADETE , INFANTIL , ALEVIN , BENJAMIN;RONDO 6x3 TRIOS;Jugamos un rondo en 3 trios (9 jugadores) el equipo que roba, cuando intercepta, tiene que jugar con el equipo que no ha perdido el balón y cambiar posiciones con el equipo que ha perdido el balón.;;INTERCEPTACIÓN;10x10;20;BALONES , CONOS , PETOS;https://drive.google.com/file/d/1u25acQmy7tO8VvmNfzOCkCdxkCbmdu03/view?usp=drive_link
ACCIONES COMBINADAS;JUVENIL , CADETE , INFANTIL , ALEVIN , BENJAMIN;3x3+2;Jugamos dos equipo de 3 jugadores en la zona marcada. En ese 3x3, tenemos que conseguir un número de pases (poner según nivel del equipo) para sacar el balón fuera a uno de los comodines y atacar un 3x3 en el área para rematar un centro lateral.;;AMPLITUD;1/2 Campo;20;BALONES , CONOS , PETOS , PORTERIA REGLAMENTARIA;https://drive.google.com/file/d/1ygP2aKFXmk8DsqzE7LX9z7KuZYur-Mf4/view?usp=drive_link
ACCIONES COMBINADAS;JUVENIL , CADETE , INFANTIL , ALEVIN;4x4+2 - 4 ESPACIOS;Jugamos en 4 zonas, en cada zona un 1x1. Tenemos dos comodines que tienen que jugar en la zona donde este el balón. Para meter gol, tienen que tocar el balón los 4 jugadores del mismo equipo.;Para cambiar de zona, dar 3 pases en cada zona.;BUSCAR SUPERIORIDADES;3/4 campo;20;BALONES , CONOS , PETOS , PORTERIA REGLAMENTARIA;https://drive.google.com/file/d/1prtKo8phgctRDM6oKZIjbZl7J1N-ZMGc/view?usp=drive_link
ACCIONES COMBINADAS;SENIOR , JUVENIL , CADETE , INFANTIL , ALEVIN , BENJAMIN;ATAQUES 1x1-2x2-3x3-4x4 AREA GRANDE;Jugamos 4 ataques. Cada ataque lo empieza el jugador del equipo que defiende. Cada ataque es un jugador más, se empieza 1x1, hasta llegar al 4x4.;Cada atacante solo puede jugar en su zona.;ATAQUE RAPIDO;Area grande;15;BALONES , CONOS , PETOS , PORTERIA PEQUEÑA;https://drive.google.com/file/d/1bvlrIb3hONGXZSDfyAOSbiz7JbB3cw_L/view?usp=drive_link
TÉCNICA COLECTIVA;CADETE , INFANTIL , ALEVIN , BENJAMIN , PREBENJAMIN;CALENTAMIENTO 3 JUGADORES;Se inicia una secuencia de pases, donde el jugador que está en el centro, se separa para realizar una pared.;;PAREDES;10x25;10;BALONES , CONOS;https://drive.google.com/file/d/1dEUjsiTLXxTjIHgzf8CZ0D5d-nDR5caa/view?usp=drive_link
TÉCNICA COLECTIVA;INFANTIL , ALEVIN , BENJAMIN , PREBENJAMIN;CONDUCCIÓN Y PASE;Iniciamos una conducción y cuando llegamos a la altura de los conos, le damos un pase al compañero, recibimos el pase del compañero y seguimos en conducción.;;CONDUCCIÓN;10x25;10;BALONES , CONOS;https://drive.google.com/file/d/1sgEiN5Z3lqtyDzMPx3bBLpqcZltxC94M/view?usp=drive_link
TÉCNICA COLECTIVA;CADETE , INFANTIL , ALEVIN , BENJAMIN;DESMARQUES + FINALIZACION POR EQUIPOS;Realizamos una secuencia de pases, donde nos tememos que desmarcar para recibir y dejar de cara. Jugamos por equipos, gana un punto el que primero marca gol.;;DESMARQUES DE APOYO;10x25;15;BALONES , CONOS , PETOS , PICAS , PORTERIA PEQUEÑA;https://drive.google.com/file/d/1B9ZwNmXIr3kJAUMSiKo_4fhOgUFjNLZl/view?usp=drive_link
TÉCNICA COLECTIVA;SENIOR , JUVENIL , CADETE , INFANTIL , ALEVIN , BENJAMIN , PREBENJAMIN;RUEDA PASES 5 JUGADORES;Jugamos 5 jugadores en un cuadrado de 20x20, donde tenemos que jugar una pared y jugar lejano.;Cambiar la distancia del cuadrado.;PASE;20x20;15;BALONES , CONOS;https://drive.google.com/file/d/16apNkn50IUhozH02WQXYMGKlhD2JVwsF/view?usp=drive_link
